id	instrument	family	technique	pitch	dynamic	dynamic_num	spectral_center	spectral_complexity	spectral_spread	duration	absolute_intensity
Hn-brassy-A#2-ff	01_Horn	Brass	brassy	46	ff	7	913.83	0.04697	1132.93	0.0	2.1236
Hn-brassy-A#3-ff	01_Horn	Brass	brassy	58	ff	7	880.19	0.00131	937.92	0.0	1.2734
Hn-brassy-A#4-ff	01_Horn	Brass	brassy	70	ff	7	998.72	0.00055	1051.62	0.0	2.0216
Hn-brassy-A2-ff	01_Horn	Brass	brassy	45	ff	7	936.74	0.03267	1240.2	0.0	1.9775
Hn-brassy-A3-ff	01_Horn	Brass	brassy	57	ff	7	879.55	0.00166	968.41	0.0	1.5147
Hn-brassy-A4-ff	01_Horn	Brass	brassy	69	ff	7	1065.99	0.00069	1093.39	0.0	1.8119
Hn-brassy-B1-ff	01_Horn	Brass	brassy	35	ff	7	541.23	0.00019	271.37	0.0	0.4453
Hn-brassy-B2-ff	01_Horn	Brass	brassy	47	ff	7	926.99	0.03552	1090.6	0.0	2.2368
Hn-brassy-B3-ff	01_Horn	Brass	brassy	59	ff	7	955.46	0.00266	1010.36	0.0	1.5052
Hn-brassy-B4-ff	01_Horn	Brass	brassy	71	ff	7	1186.38	0.00095	1335.73	0.0	2.0938
Hn-brassy-C#2-ff	01_Horn	Brass	brassy	37	ff	7	579.5	0.00119	335.13	0.0	0.478
Hn-brassy-C#3-ff	01_Horn	Brass	brassy	49	ff	7	1026.23	0.03511	1300.02	0.0	2.2179
Hn-brassy-C#4-ff	01_Horn	Brass	brassy	61	ff	7	1168.5	0.00375	1448.79	0.0	1.5887
Hn-brassy-C#5-ff	01_Horn	Brass	brassy	73	ff	7	910.43	0.00105	955.09	0.0	1.8809
Hn-brassy-C2-ff	01_Horn	Brass	brassy	36	ff	7	483.41	6e-05	179.14	0.0	0.235
Hn-brassy-C3-ff	01_Horn	Brass	brassy	48	ff	7	992.96	0.03439	1197.91	0.0	2.3651
Hn-brassy-C4-ff	01_Horn	Brass	brassy	60	ff	7	1010.58	0.00204	1041.82	0.0	1.5914
Hn-brassy-C5-ff	01_Horn	Brass	brassy	72	ff	7	1179.44	0.00163	1286.32	0.0	2.2969
Hn-brassy-D#2-ff	01_Horn	Brass	brassy	39	ff	7	737.62	0.01518	621.95	0.0	1.0757
Hn-brassy-D#3-ff	01_Horn	Brass	brassy	51	ff	7	815.17	0.00493	786.02	0.0	1.5726
Hn-brassy-D#4-ff	01_Horn	Brass	brassy	63	ff	7	1023.85	0.00127	1197.37	0.0	1.7907
Hn-brassy-D#5-ff	01_Horn	Brass	brassy	75	ff	7	1721.01	0.00192	1619.61	0.0	2.6745
Hn-brassy-D2-ff	01_Horn	Brass	brassy	38	ff	7	639.32	0.00264	393.01	0.0	0.6832
Hn-brassy-D3-ff	01_Horn	Brass	brassy	50	ff	7	862.9	0.01125	1000.99	0.0	1.8726
Hn-brassy-D4-ff	01_Horn	Brass	brassy	62	ff	7	1330.03	0.00294	1680.24	0.0	1.8178
Hn-brassy-D5-ff	01_Horn	Brass	brassy	74	ff	7	1495.32	0.00164	1482.94	0.0	2.4804
Hn-brassy-E2-ff	01_Horn	Brass	brassy	40	ff	7	830.65	0.02195	797.61	0.0	1.3598
Hn-brassy-E3-ff	01_Horn	Brass	brassy	52	ff	7	987.75	0.01151	1084.76	0.0	1.7889
Hn-brassy-E4-ff	01_Horn	Brass	brassy	64	ff	7	962.27	0.00094	1148.41	0.0	1.8865
