id,instrument,family,x,y,pitch,dynamic,spectral_complexity,spectral_center
accordion.m9.G2.mf.Ria1084,accordion,accordions,4.0850635,4.0645337,48,mf,0.0171,504.9
accordion.m37.vmedium.fff.Ria115,accordion,accordions,-1.9345297,13.950656,1,fff,0.0599,2672.0
accordion.m51.G2.fff.Ria495,accordion,accordions,-5.339907,8.832306,60,fff,0.0574,863.7
accordion.m9.G3.mf.Ria1096,accordion,accordions,3.3076024,3.4462736,36,mf,0.0269,466.6
accordion.m51.E6.fff.Ria540,accordion,accordions,-2.6606498,14.982385,15,fff,0.0213,3141.9
accordion.m65.E1.fff.Ria1650,accordion,accordions,-2.6228895,10.205703,63,fff,0.0692,1489.9
accordion.m46.G1.fff.Ria1173,accordion,accordions,-6.586544,7.669616,60,fff,0.032,655.3
accordion.m74.E4.fff.Ria228,accordion,accordions,-2.987998,9.677626,39,fff,0.0276,1318.1
accordion.m62.Bb1.fff.Ria1008,accordion,accordions,-6.34297,7.5464377,57,fff,0.0174,636.9
accordion.m68.E6.mf.Ria1273,accordion,accordions,2.0417912,14.045389,21,mf,0.0083,2490.9
accordion.m49.G4.mf.Ria1384,accordion,accordions,3.3952959,6.444331,42,mf,0.0217,933.9
accordion.m13.G2.ppp.Ria629,accordion,accordions,12.542029,13.972142,60,ppp,0.0403,544.2
accordion.m68.E7.ppp.Ria1286,accordion,accordions,3.4127228,16.654684,9,ppp,0.0042,2510.2
accordion.m11.E3.fff.Ria1740,accordion,accordions,-4.9089813,8.028571,39,fff,0.034,878.5
accordion.m49.E3.mf.Ria1369,accordion,accordions,3.547154,6.2532353,57,mf,0.0577,884.3
accordion.m49.E6.fff.Ria1404,accordion,accordions,-2.7909775,14.065198,21,fff,0.0144,2675.6
accordion.m50.G3.ppp.Ria731,accordion,accordions,12.685202,16.345919,48,ppp,0.02,386.4
accordion.m12.G3.ppp.Ria1301,accordion,accordions,11.821153,15.139375,54,ppp,0.0276,378.2
accordion.m73.Db3.fff.Ria699,accordion,accordions,-8.285377,7.9817314,12,fff,0.0235,515.9
accordion.m3.G3.ppp.Ria2231,accordion,accordions,10.803201,14.449916,42,ppp,0.0059,368.5
accordion.m76.Db4.ppp.Ria935,accordion,accordions,13.718343,14.345682,0,ppp,0.0086,515.3
accordion.m70.E3.ppp.Ria572,accordion,accordions,12.176888,12.930847,51,ppp,0.0181,703.4
accordion.m52.Db7.mf.Ria994,accordion,accordions,0.6163602,16.502619,6,mf,0.0132,3599.2
accordion.m5.Bb2.fff.Ria2136,accordion,accordions,-7.4631586,6.764771,39,fff,0.0054,404.9
accordion.m68.G4.ppp.Ria1253,accordion,accordions,10.576005,12.917626,42,ppp,0.0093,651.8
accordion.m75.Bb6.fff.Ria834,accordion,accordions,-2.4952216,15.151096,9,fff,0.0066,3210.2
accordion.m6.E3.fff.Ria2226,accordion,accordions,-7.1135564,6.7031517,0,fff,0.0154,465.3
accordion.m51.E3.ppp.Ria506,accordion,accordions,11.373038,13.809486,51,ppp,0.0349,517.8
accordion.m50.G5.fff.Ria753,accordion,accordions,-3.7013927,8.8014765,24,fff,0.0122,968.5
accordion.m48.E4.mf.Ria1855,accordion,accordions,3.2654862,4.6968613,27,mf,0.0227,722.4
accordion.m51.G5.fff.Ria531,accordion,accordions,-2.7019548,12.505119,24,fff,0.0139,2149.1
accordion.m11.G4.ppp.Ria1757,accordion,accordions,12.697727,14.109068,24,ppp,0.01,518.5
accordion.m15.G6.fff.Ria423,accordion,accordions,-2.8532386,14.056226,12,fff,0.0115,2706.1
accordion.m46.E6.ppp.Ria1232,accordion,accordions,10.998183,13.303643,3,ppp,0.0643,598.8
accordion.m13.E6.ppp.Ria674,accordion,accordions,4.5149803,15.647923,15,ppp,0.0347,2075.0
accordion.m39.vlow.ppp.Ria88,accordion,accordions,12.401806,13.021963,0,ppp,0.0433,699.0
accordion.m35.vdal niente.Ria153,accordion,accordions,13.959468,4.9364667,5,---,0.0164,344.7
accordion.m3.G6.ppp.Ria2267,accordion,accordions,4.777422,15.4088125,6,ppp,0.0086,1835.3
accordion.m51.G6.mf.Ria544,accordion,accordions,2.4919057,12.135686,12,mf,0.0154,2131.0
accordion.m77.G3.mf.Ria484,accordion,accordions,3.6950557,5.236548,6,mf,0.0279,818.9
accordion.m76.G2.ppp.Ria917,accordion,accordions,12.586197,12.510013,18,ppp,0.0144,836.7
accordion.m77.E3.mf.Ria481,accordion,accordions,3.2713335,5.7851353,9,mf,0.0308,951.4
accordion.m73.E2.mf.Ria691,accordion,accordions,3.8522,4.034617,21,mf,0.0291,605.3
accordion.m74.G6.mf.Ria256,accordion,accordions,1.0372784,16.025547,12,mf,0.009,3256.1
accordion.m15.G2.ppp.Ria281,accordion,accordions,11.868193,14.40351,60,ppp,0.0718,477.5
accordion.m42.vmedium.ppp.Ria82,accordion,accordions,13.5334425,13.075818,1,ppp,0.0941,744.7
accordion.m78.E6.Ria1644,accordion,accordions,5.467994,14.307752,3,---,0.0024,1564.5
accordion.m62.G3.fff.Ria1029,accordion,accordions,-6.301592,7.710771,36,fff,0.0183,598.5
accordion.m67.Db4.ppp.Ria1169,accordion,accordions,15.01751,16.183582,0,ppp,0.0022,320.7
accordion.m49.G6.fff.Ria1407,accordion,accordions,-2.7760653,14.630658,18,fff,0.0239,3024.5
accordion.m15.E5.fff.Ria378,accordion,accordions,-2.668443,11.737599,27,fff,0.0169,1827.5
accordion.m76.G2.fff.Ria915,accordion,accordions,-4.2764797,9.594608,18,fff,0.0459,1120.7
accordion.m5.Db6.fff.Ria2175,accordion,accordions,-2.8302402,15.142183,0,fff,0.0203,3320.6
accordion.m15.Db5.ppp.Ria371,accordion,accordions,9.093171,11.777944,30,ppp,0.0178,807.1
accordion.m51.G3.fff.Ria507,accordion,accordions,-5.4353623,9.109232,48,fff,0.0579,865.4
accordion.m11.Db2.ppp.Ria1727,accordion,accordions,12.647838,16.447514,54,ppp,0.0205,366.1
accordion.m77.Bb2.fff.Ria474,accordion,accordions,-5.851282,8.4922695,15,fff,0.0467,788.0
accordion.m68.Db8.mf.Ria1294,accordion,accordions,0.25190815,17.37361,0,mf,0.0015,4198.4
accordion.m5.Bb1.mf.Ria2125,accordion,accordions,3.3279133,3.4041495,51,mf,0.0193,429.8
accordion.m13.G7.mf.Ria688,accordion,accordions,1.6999705,15.381069,0,mf,0.0059,2974.0
accordion.m65.E6.ppp.Ria1712,accordion,accordions,3.5737875,16.848059,3,ppp,0.0068,2560.0
accordion.m3.Db7.ppp.Ria2273,accordion,accordions,3.7719994,16.063768,0,ppp,0.0066,2285.9
accordion.m74.G7.ppp.Ria269,accordion,accordions,1.9724683,17.308607,0,ppp,0.0117,3367.1
accordion.m13.G5.ppp.Ria665,accordion,accordions,13.078472,12.686267,24,ppp,0.0039,764.1
accordion.m75.Bb3.mf.Ria799,accordion,accordions,4.015754,4.26337,45,mf,0.0147,579.0
accordion.m46.E6.fff.Ria1230,accordion,accordions,-2.8591745,13.544255,3,fff,0.0188,2505.1
accordion.m52.G3.ppp.Ria953,accordion,accordions,12.152004,14.251552,48,ppp,0.02,485.9
accordion.m62.Bb1.mf.Ria1009,accordion,accordions,3.5479057,4.382213,57,mf,0.0181,606.1
accordion.m9.Db4.fff.Ria1101,accordion,accordions,-7.709993,7.0001674,30,fff,0.0098,350.0
accordion.m50.G2.fff.Ria717,accordion,accordions,-6.2833357,7.6916304,60,fff,0.0293,652.8
accordion.m79.G5.Ria1613,accordion,accordions,6.847777,12.306644,30,---,0.0083,1353.2
accordion.m49.E7.mf.Ria1417,accordion,accordions,1.9157357,13.999418,9,mf,0.0086,2471.0
accordion.m52.E6.mf.Ria985,accordion,accordions,2.6746542,11.478413,15,mf,0.0166,1875.5
accordion.m65.Db5.ppp.Ria1697,accordion,accordions,9.343426,11.831191,18,ppp,0.0061,732.3
accordion.m15.Bb5.ppp.Ria398,accordion,accordions,8.21357,11.756396,21,ppp,0.0088,1072.1
accordion.m5.G5.ppp.Ria2171,accordion,accordions,8.222209,11.840661,6,ppp,0.0076,942.0
accordion.m39.vlow.fff.Ria86,accordion,accordions,-3.4828975,8.547296,0,fff,0.0718,1109.3
accordion.m15.Bb3.ppp.Ria326,accordion,accordions,12.701671,16.763063,45,ppp,0.0134,290.5
accordion.m80.Db7.Ria1642,accordion,accordions,4.4119477,16.016514,6,---,0.0015,2114.5
accordion.m5.Db6.mf.Ria2176,accordion,accordions,1.8359634,15.1918545,0,mf,0.0044,2849.6
accordion.m0.fff.Ria3,accordion,accordions,-4.2114835,11.261522,0,fff,0.1623,1447.9
accordion.m11.Bb5.fff.Ria1770,accordion,accordions,-2.4383762,11.961822,9,fff,0.0281,1877.8
accordion.m12.E6.fff.Ria1332,accordion,accordions,-2.769427,13.305333,21,fff,0.012,2395.3
accordion.m13.E6.mf.Ria673,accordion,accordions,2.5659277,11.9582615,15,mf,0.01,2059.4
accordion.m46.G6.ppp.Ria1235,accordion,accordions,7.8794026,11.797159,0,ppp,0.0257,1051.5
accordion.m15.G7.ppp.Ria461,accordion,accordions,4.7635202,15.429039,0,ppp,0.0073,1922.7
accordion.m48.G3.fff.Ria1845,accordion,accordions,-5.567202,7.3449287,36,fff,0.0315,732.1
accordion.m67.G3.mf.Ria1162,accordion,accordions,3.4980376,3.118051,6,mf,0.0186,518.2
accordion.m52.Db7.fff.Ria993,accordion,accordions,-2.6428757,15.182757,6,fff,0.0127,3301.2
accordion.m75.Db7.ppp.Ria839,accordion,accordions,3.6276321,16.832533,6,ppp,0.0078,2524.5
accordion.m11.E5.fff.Ria1764,accordion,accordions,-5.3143606,7.36477,15,fff,0.013,765.0
accordion.m74.E5.fff.Ria240,accordion,accordions,-2.1204586,13.605381,27,fff,0.0105,2558.8
accordion.m49.Bb4.ppp.Ria1388,accordion,accordions,10.720429,13.196406,39,ppp,0.0364,614.4
accordion.m13.G2.fff.Ria627,accordion,accordions,-6.8337893,8.132179,60,fff,0.0457,634.1
accordion.m16.Bb2.fff.Ria852,accordion,accordions,-6.1885405,7.667766,57,fff,0.0403,658.3
accordion.m73.E3.ppp.Ria704,accordion,accordions,12.922956,13.136573,9,ppp,0.0071,723.7
accordion.m12.G5.mf.Ria1324,accordion,accordions,1.7857028,14.974018,30,mf,0.0225,2761.7
