id,instrument,family,x,y,pitch,dynamic,spectral_complexity,spectral_center
hand castanets.m8.f.Dai2828,hand castanets,Other,14.310754,-0.37256372,0,f,0.3443,2844.9
mokusho.m27.E7.ppp.Sni1132,mokusho,Other,14.022204,2.7763863,0,ppp,0.078,3086.6
mokusho.m61.G6.ppp.Sni1096,mokusho,Other,13.092617,11.670286,6,ppp,0.0425,483.7
udu.m37.vside hole deadstroke.ppp.Dai2614,udu,Other,12.902377,4.4074073,1,ppp,0.0061,2131.6
mokusho.m19.Eb7.mf.Sni1115,mokusho,Other,14.471897,0.5872297,1,mf,0.1972,3129.7
water gourd.m48.Bb2.f.Sai1068,water gourd,Other,3.4275668,-1.3848455,0,f,0.0286,311.0
mokusho.m61.Eb7.mf.Sni1100,mokusho,Other,11.082888,1.4254855,1,mf,0.0535,2307.0
wind machine.m31.vfast.Dei1,wind machine,Other,14.036468,2.687161,0,---,0.1948,3009.5
water gourd.m3.F2.p.Sai1009,water gourd,Other,2.920108,4.59036,5,p,0.0028,191.7
guiro bamboo.m217.f.Sai2816,guiro bamboo,Other,14.823406,-0.20203514,0,f,0.2182,3053.0
machine castanets.m135.p.Sei2819,machine castanets,Other,14.793037,0.8517401,0,p,0.2935,3348.4
water gourd.m123.Ab2.p.Sai1049,water gourd,Other,16.261951,0.897466,2,p,0.4073,4268.9
mokusho.m19.E7.mf.Sni1118,mokusho,Other,14.021308,0.558242,0,mf,0.1078,2924.0
water gourd.m4.Bb2.p.Sai1059,water gourd,Other,2.6477005,3.3233292,0,p,0.0024,141.8
hand castanets.m8.p.Dai2827,hand castanets,Other,13.547634,0.72127974,0,p,0.2617,2567.9
udu.m37.vside of vase.fff.Dai2613,udu,Other,14.324272,-0.8924903,2,fff,0.1933,2721.2
guiro bamboo.m182.f.Sai2810,guiro bamboo,Other,14.926231,-0.1875529,0,f,0.2764,3406.3
water gourd.m123.Ab2.f.Sai1050,water gourd,Other,15.756943,-0.2702417,2,f,0.3849,3969.9
guiro bamboo.m182.p.Sai2809,guiro bamboo,Other,16.087078,0.8899846,0,p,0.3258,3929.8
water gourd.m123.F2.p.Sai1025,water gourd,Other,14.716681,0.8359549,5,p,0.4445,3232.1
mokusho.m61.E7.mf.Sni1103,mokusho,Other,10.700493,1.9750766,0,mf,0.065,2075.1
udu.m37.vside of vase.mf.Dai2612,udu,Other,14.656572,0.35485932,2,mf,0.2874,3258.2
car horn large.m6.f.Sei1386,car horn large,Other,2.7834492,-1.1204754,0,f,0.0606,782.2
machine castanets.m135.f.Sei2820,machine castanets,Other,14.415024,-0.24626295,0,f,0.3216,3040.0
mokusho.m53.Eb7.fff.Sni1086,mokusho,Other,14.324329,-0.918443,1,fff,0.0762,2568.4
sandblocks coarse grain.m211.p.Sei2864,sandblocks coarse grain,Other,16.789097,1.255775,0,p,0.3949,4695.0
guiro bamboo.m2.f.Sai2808,guiro bamboo,Other,17.019016,0.03259566,0,f,0.3284,4614.0
machine castanets.m167.f.Sei2822,machine castanets,Other,11.245705,1.3524754,0,f,0.2636,2395.1
mokusho.m19.E7.ppp.Sni1117,mokusho,Other,13.93934,2.8823159,0,ppp,0.0728,2902.2
water gourd.m4.Ab2.p.Sai1035,water gourd,Other,2.5708773,3.1960123,2,p,0.0022,200.2
water gourd.m123.Bb2.p.Sai1073,water gourd,Other,16.290003,0.88036186,0,p,0.5081,4295.5
sandblocks fine grain.m212.p.Sei2858,sandblocks fine grain,Other,16.27654,0.88957095,0,p,0.48,4384.4
nightengale birdcall.m98.f.Sei1416,nightengale birdcall,Other,14.834829,-0.08556553,0,f,0.032,3248.7
guiro bamboo.m1.p.Sai2805,guiro bamboo,Other,16.048113,0.888267,0,p,0.3343,3863.8
water gourd.m124.F2.p.Sai1027,water gourd,Other,14.81448,0.72644097,5,p,0.3536,3454.7
hand castanets.m28.f.Dai2824,hand castanets,Other,10.219883,1.5033289,0,f,0.2942,1856.5
mokusho.m27.E7.fff.Sni1134,mokusho,Other,14.78806,-0.866203,0,fff,0.0709,3055.6
udu.m37.vside hole.mf.Dai2609,udu,Other,3.7513318,1.8629736,0,mf,0.0059,348.2
udu.m37.vupper hole.ppp.Dai2605,udu,Other,11.820564,15.058032,3,ppp,0.0024,191.4
mokusho.m53.E7.ppp.Sni1087,mokusho,Other,11.668429,10.681113,0,ppp,0.0699,737.0
water gourd.m43.Bb2.p.Sai1065,water gourd,Other,2.966301,2.2820575,0,p,0.0032,192.9
mokusho.m61.Eb7.fff.Sni1101,mokusho,Other,14.230352,-1.7665559,1,fff,0.0552,2447.6
guiro bamboo.m183.p.Sai2811,guiro bamboo,Other,14.735042,0.8132688,0,p,0.249,3280.0
mokusho.m53.Eb7.ppp.Sni1084,mokusho,Other,11.658293,10.801958,1,ppp,0.0557,687.7
mokusho.m19.G6.mf.Sni1112,mokusho,Other,10.104723,1.827012,6,mf,0.0364,1792.7
machine castanets.m167.p.Sei2821,machine castanets,Other,13.898533,1.2977655,0,p,0.2581,2798.7
water gourd.m4.F2.f.Sai1012,water gourd,Other,3.48141,-1.3486905,5,f,0.0059,216.2
mokusho.m53.E7.fff.Sni1089,mokusho,Other,14.345602,-0.91055596,0,fff,0.0885,2759.5
sandblocks coarse grain.m211.f.Sei2865,sandblocks coarse grain,Other,16.135017,0.49115765,0,f,0.4257,4055.7
water gourd.m48.Bb2.p.Sai1067,water gourd,Other,2.5175111,3.1170006,0,p,0.0037,159.0
guiro bamboo.m217.p.Sai2815,guiro bamboo,Other,13.994375,1.1366043,0,p,0.1777,3001.7
nightengale birdcall.m98.p.Sei1415,nightengale birdcall,Other,13.039897,1.41274,0,p,0.0266,2489.2
sandblocks fine grain.m211.f.Sei2861,sandblocks fine grain,Other,16.13105,0.50492245,0,f,0.411,4058.2
mokusho.m53.G6.ppp.Sni1081,mokusho,Other,11.546191,10.650939,6,ppp,0.0403,893.5
mokusho.m27.Eb7.fff.Sni1131,mokusho,Other,15.399478,-0.27779424,1,fff,0.283,3651.1
mokusho.m61.G6.mf.Sni1097,mokusho,Other,9.949226,1.5436703,6,mf,0.0244,1681.9
hand castanets.m7.f.Dai2830,hand castanets,Other,14.609504,-0.24392113,0,f,0.3363,3204.2
sandblocks coarse grain.m212.f.Sei2863,sandblocks coarse grain,Other,15.178225,0.25040263,0,f,0.3563,3573.3
mokusho.m61.G6.fff.Sni1098,mokusho,Other,13.153623,-3.8035848,6,fff,0.0369,1732.5
water gourd.m48.F2.f.Sai1020,water gourd,Other,3.7334204,-1.1688737,5,f,0.0318,442.7
guiro bamboo.m216.p.Sai2813,guiro bamboo,Other,14.782814,0.83780193,0,p,0.1266,3305.4
water gourd.m43.F2.p.Sai1017,water gourd,Other,2.8719964,4.5880303,5,p,0.0095,213.4
mokusho.m19.E7.fff.Sni1119,mokusho,Other,14.376478,-0.89409655,0,fff,0.1486,2888.1
water gourd.m4.Bb2.f.Sai1060,water gourd,Other,3.2324986,-1.42905,0,f,0.0039,188.7
