id,instrument,family,x,y,pitch,dynamic,spectral_complexity,spectral_center,technique
Acc-ord-G#7-mf,01_Accordion,Keyboards,4.2549715,-4.0032606,104.0,mf,1e-05,3380.86,ordinario
Acc-cresc_to_decr-F#6-ppmfpp,01_Accordion,Keyboards,1.6648804,-2.777539,90.0,mf,0.00202,1958.28,crescendo-to-decrescendo
Acc-ord-F#6-pp,01_Accordion,Keyboards,13.001677,2.905656,90.0,pp,4e-05,1778.51,ordinario
Acc-ord-G7-pp,01_Accordion,Keyboards,12.43746,1.816799,103.0,pp,1e-05,3158.03,ordinario
Acc-ord-C#8-ff,01_Accordion,Keyboards,5.300521,-4.6728983,109.0,ff,0.0,4467.06,ordinario
Acc-cresc-A4-ppff,01_Accordion,Keyboards,-0.6085809,4.3776255,69.0,mf,4e-05,1098.78,crescendo
Acc-register_combination-C5-mf,01_Accordion,Keyboards,-0.64733535,6.3498483,72.0,mf,1e-05,810.45,combination-of-registers
Acc-cresc_to_decr-G#5-ppmfpp,01_Accordion,Keyboards,0.20557572,0.6318518,80.0,mf,1e-05,1640.82,crescendo-to-decrescendo
Acc-ord-D2-pp,01_Accordion,Keyboards,12.248718,9.098728,38.0,pp,0.00029,616.79,ordinario
Acc-register_combination_double-B1-mf,01_Accordion,Keyboards,3.873426,13.8909025,35.0,mf,0.00131,698.16,combination-of-registers-dbl
Acc-ord-B6-p,01_Accordion,Keyboards,12.769908,2.3207643,95.0,p,6e-05,2462.5,ordinario
Acc-cresc-B6-ppff,01_Accordion,Keyboards,1.7045763,-2.8734539,95.0,mf,0.00037,2057.64,crescendo
Acc-cresc-A#5-ppff,01_Accordion,Keyboards,-0.1549808,0.41194522,82.0,mf,1e-05,1691.18,crescendo
Acc-cresc-G2-ppff,01_Accordion,Keyboards,2.0081966,13.898397,43.0,mf,0.00079,715.0,crescendo
Acc-ord-F#3-mf,01_Accordion,Keyboards,1.6418281,11.620959,54.0,mf,1e-05,627.08,ordinario
Acc-decr-F#1-ffpp,01_Accordion,Keyboards,3.5256455,14.174547,30.0,mf,0.00066,688.25,decrescendo
Acc-ord-B7-mf,01_Accordion,Keyboards,5.154294,-4.2905393,107.0,mf,0.0,4018.69,ordinario
Acc-ord-A#7-mf,01_Accordion,Keyboards,4.7871404,-4.175274,106.0,mf,8e-05,3795.31,ordinario
Acc-stacc-B5-mf,01_Accordion,Keyboards,-1.8783455,2.2513657,83.0,mf,4e-05,1140.14,staccato
Acc-cresc-C#2-ppff,01_Accordion,Keyboards,2.7276576,14.162098,37.0,mf,0.00021,683.64,crescendo
Acc-ord-F#5-mf,01_Accordion,Keyboards,-1.0255635,6.10489,78.0,mf,0.0,817.36,ordinario
Acc-ord-C8-ff,01_Accordion,Keyboards,5.293065,-4.655516,108.0,ff,4e-05,4365.01,ordinario
Acc-register_combination-B3-mf,01_Accordion,Keyboards,1.471608,6.9342628,59.0,mf,4e-05,1180.53,combination-of-registers
Acc-cresc-B2-ppff,01_Accordion,Keyboards,1.4522411,13.591951,47.0,mf,0.00029,545.56,crescendo
Acc-cresc_to_decr-A5-ppmfpp,01_Accordion,Keyboards,-1.447377,2.6066349,81.0,mf,2e-05,1215.14,crescendo-to-decrescendo
Acc-cresc-B3-ppff,01_Accordion,Keyboards,-0.35065055,8.088634,59.0,mf,5e-05,957.13,crescendo
Acc-fortepiano-C#4-fp,01_Accordion,Keyboards,0.14042906,7.4652915,61.0,mf,0.00088,833.27,fortepiano
Acc-ord-F4-pp,01_Accordion,Keyboards,12.6422615,7.0115924,65.0,pp,0.0,426.99,ordinario
Acc-cresc_to_decr-F4-ppmfpp,01_Accordion,Keyboards,-1.877398,10.031744,65.0,mf,0.0,555.15,crescendo-to-decrescendo
Acc-ord-A#1-ff,01_Accordion,Keyboards,-7.6249485,0.91742337,34.0,ff,0.00026,656.06,ordinario
Acc-register_combination-F#6-mf,01_Accordion,Keyboards,3.5847368,-2.6358132,90.0,mf,1e-05,2682.99,combination-of-registers
Acc-fortepiano-A#1-fp,01_Accordion,Keyboards,0.8500269,14.9559965,34.0,mf,0.00138,586.87,fortepiano
Acc-fortepiano-G#1-fp,01_Accordion,Keyboards,0.5245698,19.358994,32.0,mf,0.00101,537.31,fortepiano
Acc-cresc_to_decr-C7-ppmfpp,01_Accordion,Keyboards,1.7316141,-2.909614,96.0,mf,9e-05,2125.0,crescendo-to-decrescendo
Acc-backwards-G1-ppff,01_Accordion,Keyboards,0.956739,14.994623,31.0,mf,0.00229,643.56,backwards
Acc-cresc_to_decr-G1-ppmfpp,01_Accordion,Keyboards,2.974882,14.350055,31.0,mf,0.00065,560.05,crescendo-to-decrescendo
Acc-ord-D6-mf,01_Accordion,Keyboards,2.3919315,1.0896133,86.0,mf,4e-05,1543.4,ordinario
Acc-backwards-G#6-ppff,01_Accordion,Keyboards,-0.8690837,0.040048804,92.0,mf,0.00512,1792.9,backwards
Acc-ord-D7-mf,01_Accordion,Keyboards,4.006939,-3.8320332,98.0,mf,2e-05,3158.47,ordinario
Acc-register_combination-A#5-mf,01_Accordion,Keyboards,2.5459557,0.23322459,82.0,mf,1e-05,2020.36,combination-of-registers
Acc-ord-A#6-ff,01_Accordion,Keyboards,0.9405934,-3.3784773,94.0,ff,6e-05,2489.4,ordinario
Acc-ord-E7-mf,01_Accordion,Keyboards,3.8808293,-3.7906032,100.0,mf,1e-05,3005.49,ordinario
Acc-backwards-D#2-ppff,01_Accordion,Keyboards,2.4201226,14.1318245,39.0,mf,0.0004,699.57,backwards
Acc-ord-F3-mf,01_Accordion,Keyboards,2.6855385,10.775786,53.0,mf,0.00012,660.31,ordinario
Acc-backwards-D#5-ppff,01_Accordion,Keyboards,-2.1822917,6.7060294,75.0,mf,6e-05,734.69,backwards
Acc-backwards-D#3-ppff,01_Accordion,Keyboards,0.7479117,8.816009,51.0,mf,0.00027,760.29,backwards
Acc-backwards-D5-ppff,01_Accordion,Keyboards,-2.8204825,6.9168534,74.0,mf,0.00012,732.36,backwards
Acc-register_combination-A#4-mf,01_Accordion,Keyboards,1.1681523,6.325126,70.0,mf,1e-05,1002.19,combination-of-registers
Acc-cresc_to_decr-C6-ppmfpp,01_Accordion,Keyboards,-1.8393515,2.1259677,84.0,mf,2e-05,1183.56,crescendo-to-decrescendo
Acc-ord-B3-ff,01_Accordion,Keyboards,-2.5594122,-2.0678363,59.0,ff,0.00036,1284.81,ordinario
Acc-ord-F1-mf,01_Accordion,Keyboards,3.5631874,14.198471,29.0,mf,0.00108,525.04,ordinario
Acc-fortepiano-D#5-fp,01_Accordion,Keyboards,-0.3003939,3.7355745,75.0,mf,3e-05,1155.12,fortepiano
Acc-ord-B7-pp,01_Accordion,Keyboards,12.219371,1.5010194,107.0,pp,0.00034,4054.49,ordinario
Acc-ord-A#5-pp,01_Accordion,Keyboards,12.814508,4.494762,82.0,pp,0.0,1204.47,ordinario
Acc-ord-F#5-pp,01_Accordion,Keyboards,12.802686,5.826091,78.0,pp,0.0,805.56,ordinario
